Date,Clicks,Impressions,CTR,Position
2025-06-03,104,26004,0.4%,36.8
2025-06-04,103,24693,0.42%,36.2
2025-06-05,93,26292,0.35%,36
2025-06-06,92,25539,0.36%,37.2
2025-06-07,34,30023,0.11%,42.1
2025-06-08,58,25451,0.23%,39.3
2025-06-09,90,27932,0.32%,38.2
2025-06-10,97,27152,0.36%,38
2025-06-11,103,25884,0.4%,38.1
2025-06-12,80,26061,0.31%,39
2025-06-13,79,28348,0.28%,42.6
2025-06-14,33,27268,0.12%,47.9
2025-06-15,33,24061,0.14%,43.2
2025-06-16,80,24648,0.32%,41.8
2025-06-17,58,21893,0.26%,39
2025-06-18,67,21008,0.32%,39.3
2025-06-19,69,22090,0.31%,40.1
2025-06-20,65,22382,0.29%,40.4
2025-06-21,35,24656,0.14%,42.8
2025-06-22,29,21194,0.14%,40.6
2025-06-23,71,22230,0.32%,37.9
2025-06-24,76,22711,0.33%,38
2025-06-25,88,22701,0.39%,37.2
2025-06-26,83,28179,0.29%,34.6
2025-06-27,58,24452,0.24%,34.5
2025-06-28,47,28611,0.16%,43.1
2025-06-29,38,23633,0.16%,39.1
2025-06-30,72,26238,0.27%,38.7
2025-07-01,69,25423,0.27%,34.4
2025-07-02,71,25017,0.28%,35.8
2025-07-03,62,21917,0.28%,36.9
2025-07-04,38,21989,0.17%,40.6
2025-07-05,36,26698,0.13%,43.1
2025-07-06,48,22661,0.21%,40.6
2025-07-07,90,34331,0.26%,41.9
2025-07-08,70,26703,0.26%,39.9
2025-07-09,112,26399,0.42%,36.9
2025-07-10,97,27851,0.35%,37
2025-07-11,83,29218,0.28%,36.2
2025-07-12,39,27038,0.14%,42.2
2025-07-13,44,21478,0.2%,37.9
2025-07-14,85,25043,0.34%,40
2025-07-15,69,24342,0.28%,39.9
2025-07-16,75,22232,0.34%,39.3
2025-07-17,61,20899,0.29%,37.1
2025-07-18,54,22086,0.24%,41.2
2025-07-19,36,31110,0.12%,47.4
2025-07-20,38,28429,0.13%,46.1
2025-07-21,99,26145,0.38%,40.6
2025-07-22,85,23068,0.37%,38.9
2025-07-23,91,17996,0.51%,33.5
2025-07-24,59,20015,0.29%,33.8
2025-07-25,76,20299,0.37%,35.9
2025-07-26,42,23241,0.18%,40.8
2025-07-27,43,19965,0.22%,37
2025-07-28,101,21856,0.46%,36.1
2025-07-29,94,20375,0.46%,34.7
2025-07-30,105,21374,0.49%,34.8
2025-07-31,91,22357,0.41%,38.8
2025-08-01,75,20847,0.36%,35.6
2025-08-02,59,23294,0.25%,40.6
2025-08-03,63,21773,0.29%,36.7
2025-08-04,104,22885,0.45%,35.3
2025-08-05,96,22316,0.43%,33.7
2025-08-06,101,21052,0.48%,31.8
2025-08-07,101,21139,0.48%,34.3
2025-08-08,83,25682,0.32%,36.8
2025-08-09,47,24883,0.19%,43.5
2025-08-10,50,21901,0.23%,37.5
2025-08-11,81,23668,0.34%,38.7
2025-08-12,66,21149,0.31%,30.5
2025-08-13,95,66775,0.14%,18.8
2025-08-14,104,19524,0.53%,28.8
2025-08-15,77,17956,0.43%,29.5
2025-08-16,57,16758,0.34%,32
2025-08-17,71,18480,0.38%,31.1
2025-08-18,108,20630,0.52%,28.7
2025-08-19,101,23290,0.43%,27.1
2025-08-20,108,21301,0.51%,29.9
2025-08-21,99,21329,0.46%,30.5
2025-08-22,101,24757,0.41%,32.8
2025-08-23,42,22542,0.19%,36.5
2025-08-24,48,18822,0.26%,35.6
2025-08-25,90,21617,0.42%,32.4
2025-08-26,81,21692,0.37%,31.6
2025-08-27,74,21657,0.34%,31
2025-08-28,62,21600,0.29%,31.8
2025-08-29,59,19333,0.31%,33.2
2025-08-30,33,20876,0.16%,37.1
2025-08-31,34,20729,0.16%,36
2025-09-01,49,21901,0.22%,37
2025-09-02,99,25952,0.38%,33
2025-09-03,106,23691,0.45%,30.3
2025-09-04,76,23601,0.32%,31
2025-09-05,59,23734,0.25%,30.9
2025-09-06,53,24149,0.22%,37.7
2025-09-07,62,24965,0.25%,31.7
2025-09-08,89,24830,0.36%,30.8
2025-09-09,98,24201,0.4%,28
2025-09-10,82,22180,0.37%,27.2
2025-09-11,86,19462,0.44%,25.4
2025-09-12,94,17702,0.53%,17.5
2025-09-13,49,13191,0.37%,12.1
2025-09-14,52,11282,0.46%,12.4
2025-09-15,94,15875,0.59%,12.5
2025-09-16,110,17592,0.63%,14
2025-09-17,99,15660,0.63%,12.6
2025-09-18,88,14637,0.6%,13.3
2025-09-19,70,13483,0.52%,13.9
2025-09-20,62,11834,0.52%,15.4
2025-09-21,40,11157,0.36%,14.7
2025-09-22,81,14927,0.54%,15.2
2025-09-23,72,13829,0.52%,13
2025-09-24,88,16099,0.55%,12.6
2025-09-25,97,16235,0.6%,11.7
2025-09-26,54,15321,0.35%,13.7
2025-09-27,44,12775,0.34%,14.9
2025-09-28,60,13613,0.44%,15.1
2025-09-29,93,16770,0.55%,14.7
2025-09-30,88,16155,0.54%,15.3
2025-10-01,87,17760,0.49%,16.2
2025-10-02,76,16383,0.46%,15.8
2025-10-03,73,13013,0.56%,14.1
2025-10-04,45,11620,0.39%,15.7
2025-10-05,46,11417,0.4%,16.3
2025-10-06,113,14909,0.76%,14.5
2025-10-07,99,16146,0.61%,15.5
2025-10-08,91,15325,0.59%,14.8
2025-10-09,85,15494,0.55%,14.3
2025-10-10,85,16344,0.52%,13.8
2025-10-11,35,14665,0.24%,13.6
2025-10-12,50,14761,0.34%,14.4
2025-10-13,81,17036,0.48%,13.4
2025-10-14,89,19179,0.46%,14.6
2025-10-15,83,19457,0.43%,13.7
2025-10-16,79,17582,0.45%,14.7
2025-10-17,82,15408,0.53%,13.4
2025-10-18,40,13689,0.29%,14.3
2025-10-19,50,14043,0.36%,14.6
2025-10-20,69,18096,0.38%,13.1
2025-10-21,84,16434,0.51%,15.8
2025-10-22,104,17268,0.6%,15.2
2025-10-23,79,17443,0.45%,14.1
2025-10-24,84,13233,0.63%,12.9
2025-10-25,41,10314,0.4%,14.1
2025-10-26,43,11114,0.39%,14.3
2025-10-27,86,14584,0.59%,13.8
2025-10-28,79,14243,0.55%,15.5
2025-10-29,84,13099,0.64%,15.1
2025-10-30,67,13901,0.48%,13.9
2025-10-31,36,11720,0.31%,13.4
2025-11-01,33,9490,0.35%,15.3
2025-11-02,41,9662,0.42%,15.2
2025-11-03,72,11157,0.65%,13.4
2025-11-04,66,10199,0.65%,13.1
2025-11-05,62,11193,0.55%,15.5
2025-11-06,58,11023,0.53%,13.2
2025-11-07,65,11459,0.57%,12.2
2025-11-08,26,10243,0.25%,12.2
2025-11-09,43,8635,0.5%,12.3
2025-11-10,69,14952,0.46%,11.6
2025-11-11,48,11417,0.42%,12.9
2025-11-12,68,11703,0.58%,12.9
2025-11-13,69,11114,0.62%,13.2
2025-11-14,57,9320,0.61%,13.6
2025-11-15,22,8104,0.27%,14.3
2025-11-16,33,8742,0.38%,12.6
2025-11-17,70,9443,0.74%,14.8
2025-11-18,62,9753,0.64%,17.2
2025-11-19,57,10559,0.54%,20.3
2025-11-20,74,9878,0.75%,18.8
2025-11-21,56,8389,0.67%,15.1
2025-11-22,30,8556,0.35%,14.9
2025-11-23,16,9604,0.17%,15.6
2025-11-24,52,11502,0.45%,14.6
2025-11-25,55,10884,0.51%,15
2025-11-26,46,10004,0.46%,16
2025-11-27,29,8765,0.33%,16.6
2025-11-28,24,7666,0.31%,14.2
2025-11-29,31,7975,0.39%,15.2
2025-11-30,42,7562,0.56%,15.2
2025-12-01,64,10973,0.58%,14.6
2025-12-02,54,11798,0.46%,17.4
2025-12-03,82,13164,0.62%,15.2
2025-12-04,66,14626,0.45%,15.4
2025-12-05,52,13772,0.38%,14.4
2025-12-06,19,13598,0.14%,16.5
2025-12-07,13,9011,0.14%,16.4
2025-12-08,57,10700,0.53%,15.8
2025-12-09,64,12217,0.52%,16.4
2025-12-10,51,11297,0.45%,14.1
2025-12-11,56,12475,0.45%,18
2025-12-12,45,12395,0.36%,16.5
2025-12-13,28,11358,0.25%,17.4
2025-12-14,30,11426,0.26%,17.1
2025-12-15,59,13987,0.42%,13
2025-12-16,54,14364,0.38%,15
2025-12-17,50,10919,0.46%,14
2025-12-18,64,11664,0.55%,14.9
2025-12-19,53,12492,0.42%,15.5
2025-12-20,19,13217,0.14%,16.2
2025-12-21,26,11398,0.23%,16.1
2025-12-22,51,11948,0.43%,13.5
2025-12-23,52,11884,0.44%,16.9
2025-12-24,25,9633,0.26%,16.6
2025-12-25,19,9947,0.19%,17
2025-12-26,37,11273,0.33%,15.1
2025-12-27,22,13221,0.17%,16.3
2025-12-28,31,12885,0.24%,15.9
2025-12-29,66,20010,0.33%,13.8
2025-12-30,59,21258,0.28%,15.3
2025-12-31,38,14919,0.25%,15.2
2026-01-01,33,14771,0.22%,15.3
2026-01-02,59,16718,0.35%,13.3
2026-01-03,39,21357,0.18%,12.7
2026-01-04,33,17006,0.19%,14.6
2026-01-05,70,20909,0.33%,13.4
2026-01-06,67,18121,0.37%,12.1
2026-01-07,70,15652,0.45%,17.1
2026-01-08,59,16247,0.36%,18
2026-01-09,66,18830,0.35%,17.1
2026-01-10,26,16618,0.16%,20.5
2026-01-11,31,15143,0.2%,19.8
2026-01-12,68,16452,0.41%,13.9
2026-01-13,66,17201,0.38%,15.1
2026-01-14,72,16836,0.43%,13.7
2026-01-15,64,18743,0.34%,12.4
2026-01-16,53,15442,0.34%,15.5
2026-01-17,27,13973,0.19%,18
2026-01-18,32,14719,0.22%,16.7
2026-01-19,54,13354,0.4%,17.5
2026-01-20,58,17070,0.34%,15.6
2026-01-21,72,15458,0.47%,15.5
2026-01-22,75,18704,0.4%,15.8
2026-01-23,58,17200,0.34%,14.9
2026-01-24,33,19192,0.17%,16.3
2026-01-25,41,23829,0.17%,15.5
2026-01-26,82,26596,0.31%,14.4
2026-01-27,75,30916,0.24%,14.2
2026-01-28,81,29094,0.28%,14.4
2026-01-29,66,34968,0.19%,12.6
2026-01-30,57,36116,0.16%,13.2
2026-01-31,38,26611,0.14%,14.8
2026-02-01,35,27838,0.13%,15.5
2026-02-02,78,34455,0.23%,12.9
2026-02-03,90,33001,0.27%,11.8
2026-02-04,66,32028,0.21%,12.3
2026-02-05,72,41901,0.17%,12.3
2026-02-06,81,44755,0.18%,12.9
2026-02-07,47,28227,0.17%,12.2
2026-02-08,22,25725,0.09%,13.7
2026-02-09,69,17492,0.39%,12.5
2026-02-10,75,15770,0.48%,13.9
2026-02-11,81,14927,0.54%,14.3
2026-02-12,81,13967,0.58%,14.1
2026-02-13,63,12254,0.51%,13.2
2026-02-14,33,11543,0.29%,14.6
2026-02-15,43,12161,0.35%,14
2026-02-16,49,13103,0.37%,12.7
2026-02-17,69,15137,0.46%,12.3
2026-02-18,52,16407,0.32%,13
2026-02-19,53,14246,0.37%,11.6
2026-02-20,56,13551,0.41%,12.3
2026-02-21,38,12557,0.3%,13.5
2026-02-22,41,13254,0.31%,14.4
2026-02-23,59,14829,0.4%,12
2026-02-24,52,13049,0.4%,12.8
2026-02-25,74,13980,0.53%,14.2
2026-02-26,61,14443,0.42%,12.7
2026-02-27,50,15549,0.32%,12.9
2026-02-28,26,9475,0.27%,14.4
2026-03-01,32,11704,0.27%,16.1
2026-03-02,61,15146,0.4%,12.6
2026-03-03,60,13780,0.44%,11.9
2026-03-04,56,13351,0.42%,12.8
2026-03-05,54,11689,0.46%,12.9
2026-03-06,54,10414,0.52%,14.8
2026-03-07,28,9258,0.3%,13
2026-03-08,36,9210,0.39%,14
2026-03-09,49,11552,0.42%,13
2026-03-10,44,12821,0.34%,12.6
2026-03-11,53,10688,0.5%,15.5
2026-03-12,63,12459,0.51%,12
2026-03-13,37,10238,0.36%,13.1
2026-03-14,25,7506,0.33%,14.9
2026-03-15,38,8202,0.46%,15.6
2026-03-16,67,10515,0.64%,14.3
2026-03-17,58,12067,0.48%,13.5
2026-03-18,58,12595,0.46%,15.6
2026-03-19,55,15562,0.35%,13
2026-03-20,58,18124,0.32%,12.7
2026-03-21,31,16754,0.19%,13.8
2026-03-22,34,20004,0.17%,13.9
2026-03-23,87,21284,0.41%,12.8
2026-03-24,77,19754,0.39%,13
2026-03-25,76,16668,0.46%,14.5
2026-03-26,62,20056,0.31%,13.5
2026-03-27,68,18923,0.36%,16.1
2026-03-28,31,14697,0.21%,20.3
2026-03-29,31,16338,0.19%,21.6
2026-03-30,88,17159,0.51%,16.7
2026-03-31,51,14347,0.36%,14.3
2026-04-01,55,13730,0.4%,15.6
2026-04-02,54,12500,0.43%,16.8
2026-04-03,41,11600,0.35%,15
2026-04-04,16,11149,0.14%,20
2026-04-05,17,10706,0.16%,17.1
2026-04-06,65,12135,0.54%,18.3
2026-04-07,49,10517,0.47%,15.7
2026-04-08,49,10291,0.48%,15.1
2026-04-09,39,10302,0.38%,13.5
2026-04-10,42,10583,0.4%,22.5
2026-04-11,26,14475,0.18%,64.6
2026-04-12,18,13670,0.13%,62.3
2026-04-13,57,11383,0.5%,29.8
2026-04-14,67,9607,0.7%,17.6
2026-04-15,52,10199,0.51%,17.8
2026-04-16,43,9005,0.48%,15.4
2026-04-17,34,8217,0.41%,14.7
2026-04-18,28,8179,0.34%,15.2
2026-04-19,34,8571,0.4%,15.6
2026-04-20,42,9878,0.43%,14
2026-04-21,51,9051,0.56%,14
2026-04-22,75,9407,0.8%,14
2026-04-23,47,8370,0.56%,12.3
2026-04-24,53,8019,0.66%,12.4
2026-04-25,26,5814,0.45%,15.5
2026-04-26,13,6343,0.2%,16
2026-04-27,50,7713,0.65%,13.7
2026-04-28,65,7707,0.84%,13.7
2026-04-29,50,11536,0.43%,12.3
2026-04-30,39,11022,0.35%,11.7
2026-05-01,41,9294,0.44%,13.4
2026-05-02,24,6730,0.36%,15.8
2026-05-03,27,7473,0.36%,16.3
2026-05-04,51,10342,0.49%,14.7
2026-05-05,57,16373,0.35%,9.7
2026-05-06,53,15862,0.33%,10.6
2026-05-07,49,10458,0.47%,14.4
2026-05-08,47,10356,0.45%,13.6
2026-05-09,19,10093,0.19%,14.2
2026-05-10,31,12861,0.24%,14.1
2026-05-11,66,15713,0.42%,13.3
2026-05-12,63,15460,0.41%,13.2
2026-05-13,79,17469,0.45%,13.1
2026-05-14,71,15800,0.45%,13.4
2026-05-15,73,15221,0.48%,15
2026-05-16,28,16183,0.17%,17.6
2026-05-17,35,18735,0.19%,17.4
2026-05-18,83,20690,0.4%,15.6
2026-05-19,93,21031,0.44%,16.3
2026-05-20,68,20753,0.33%,18
2026-05-21,72,22081,0.33%,16.4
2026-05-22,51,21091,0.24%,16.6
2026-05-23,31,20665,0.15%,17.9
2026-05-24,39,20657,0.19%,18.2
2026-05-25,35,18889,0.19%,16.2
2026-05-26,73,21613,0.34%,16.1
2026-05-27,79,24368,0.32%,15.9
2026-05-28,75,22232,0.34%,16.2
2026-05-29,81,19733,0.41%,14.8
2026-05-30,25,15840,0.16%,16.6
2026-05-31,23,15565,0.15%,17.7
2026-06-01,62,20393,0.3%,15.7
2026-06-02,59,18380,0.32%,15.1
2026-06-03,58,20975,0.28%,16.5
2026-06-04,43,17688,0.24%,14.7
2026-06-05,50,15847,0.32%,15.9
2026-06-06,18,15487,0.12%,16.6
2026-06-07,28,15322,0.18%,18.5
2026-06-08,46,14555,0.32%,21
2026-06-09,60,15412,0.39%,19.8
2026-06-10,46,12429,0.37%,16.9
2026-06-11,63,12504,0.5%,15.4
2026-06-12,31,12136,0.26%,19.3
2026-06-13,18,11937,0.15%,19.7
2026-06-14,34,13708,0.25%,20.7
2026-06-15,49,15910,0.31%,18.9
2026-06-16,67,14292,0.47%,21.5
2026-06-17,43,15899,0.27%,18.1
2026-06-18,62,13549,0.46%,17.9
2026-06-19,28,12687,0.22%,17
2026-06-20,9,12169,0.07%,17.7
2026-06-21,11,14143,0.08%,19
2026-06-22,48,14715,0.33%,15.8
2026-06-23,58,14303,0.41%,20.6
2026-06-24,35,13001,0.27%,18.5
2026-06-25,47,13176,0.36%,17.5
2026-06-26,27,10282,0.26%,18.2
2026-06-27,19,11754,0.16%,18.9
2026-06-28,18,13993,0.13%,21.8
2026-06-29,49,15028,0.33%,20.1
2026-06-30,34,15557,0.22%,23.1
2026-07-01,50,14687,0.34%,21.3
2026-07-02,37,15093,0.25%,19.3
2026-07-03,23,12813,0.18%,20.7
2026-07-04,12,12605,0.1%,20.8
2026-07-05,21,12991,0.16%,23
2026-07-06,45,15648,0.29%,16.6
2026-07-07,53,16626,0.32%,20.1
2026-07-08,55,14312,0.38%,19.3
2026-07-09,49,16318,0.3%,18.3
2026-07-10,41,12866,0.32%,19
2026-07-11,17,11949,0.14%,20.8
2026-07-12,16,12574,0.13%,22.6
2026-07-13,58,27884,0.21%,14.1
2026-07-14,58,27798,0.21%,13.8
2026-07-15,48,13976,0.34%,16.8
2026-07-16,34,11429,0.3%,17.6
2026-07-17,40,11632,0.34%,17.1
2026-07-18,14,10429,0.13%,19.2
2026-07-19,11,12191,0.09%,22.9
