Top pages,Clicks,Impressions,CTR,Position
https://www.johnsonlgroup.com/blog/2023/october/who-gets-the-kids-the-battle-of-child-custody/,5,1784,0.28%,13.43
https://www.johnsonlgroup.com/faq/,5,1679,0.3%,16.48
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/prenup-postnup/,5,1558,0.32%,27.65
https://www.johnsonlgroup.com/blog/2022/june/spending-of-marital-assets-before-or-during-a-divorce/,5,1199,0.42%,12.6
https://www.johnsonlgroup.com/colorado/alimony/calculator/,5,1162,0.43%,23.75
https://www.johnsonlgroup.com/blog/2024/june/what-happens-when-a-protection-order-is-violated/,5,795,0.63%,16.81
https://www.johnsonlgroup.com/wyoming/prenup-postnup/,5,417,1.2%,6.65
https://www.johnsonlgroup.com/colorado/locations/denver/orders-of-protection/,4,5825,0.07%,32.61
https://www.johnsonlgroup.com/practice-areas/family-law/fathers-rights/,4,5529,0.07%,22.05
https://www.johnsonlgroup.com/colorado/child-support/how-to-file/,4,2027,0.2%,25.72
https://www.johnsonlgroup.com/blog/2025/august/navigating-virtual-visitation-rights-in-colorado/,4,1608,0.25%,8.42
https://www.johnsonlgroup.com/colorado/paternity/establishing-paternity/,4,1310,0.31%,14.7
https://www.johnsonlgroup.com/blog/2022/march/what-are-the-five-stages-of-divorce/,4,1283,0.31%,32.22
https://www.johnsonlgroup.com/blog/2021/april/how-to-calculate-income-for-child-support-and-alimony-in-colorado/,4,1131,0.35%,14.2
https://www.johnsonlgroup.com/blog/2022/february/what-is-a-gun-trust/,4,1130,0.35%,19.86
https://www.johnsonlgroup.com/blog/2022/march/what-do-judges-look-for-in-child-custody-cases/,4,1122,0.36%,17.67
https://www.johnsonlgroup.com/blog/2024/march/understanding-guardianship-for-minors-in-colorado/,4,1056,0.38%,15.88
https://www.johnsonlgroup.com/colorado/child-custody/child-preference-age/,4,759,0.53%,21.45
https://www.johnsonlgroup.com/blog/2023/may/most-common-examples-of-parental-alienation-in-colorado-2023/,4,556,0.72%,11.96
https://www.johnsonlgroup.com/colorado/divorce/divorce-mediation/,4,476,0.84%,14.14
https://www.johnsonlgroup.com/denver-criminal-defense-lawyer/,4,319,1.25%,22.28
https://www.johnsonlgroup.com/guardianship/,4,266,1.5%,11.83
https://www.johnsonlgroup.com/es/,4,200,2%,15.04
https://www.johnsonlgroup.com/blog/2026/july/modifying-custody-orders-colorado-2026-guide/,4,153,2.61%,17.65
https://www.johnsonlgroup.com/videos/our-story/taylor-brice/,4,86,4.65%,8.38
https://www.johnsonlgroup.com/colorado/attorneys/myron-l-latney-jr/,4,85,4.71%,11.66
https://www.johnsonlgroup.com/blog/2021/may/denver-divorce-papers-101/,3,4750,0.06%,16.48
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/high-conflict-custody/,3,3634,0.08%,64.99
https://www.johnsonlgroup.com/colorado/locations/denver/high-net-worth-divorce/,3,3402,0.09%,19.43
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/orders-of-protection/,3,3299,0.09%,21.77
https://www.johnsonlgroup.com/blog/2022/january/understanding-the-different-types-of-wills/,3,3262,0.09%,24.33
https://www.johnsonlgroup.com/colorado/locations/commerce-city/divorce/,3,3256,0.09%,13.01
https://www.johnsonlgroup.com/colorado/divorce/annulment/,3,3166,0.09%,19.2
https://www.johnsonlgroup.com/blog/2021/may/how-do-they-determine-who-gets-custody/,3,2678,0.11%,19.24
https://www.johnsonlgroup.com/blog/2021/april/how-is-child-support-calculated-in-colorado/,3,2169,0.14%,18.31
https://www.johnsonlgroup.com/blog/2024/august/can-alimony-be-modified-after-divorce/,3,2004,0.15%,18.86
https://www.johnsonlgroup.com/colorado/divorce/no-fault-vs-fault/,3,1902,0.16%,12.71
https://www.johnsonlgroup.com/blog/2021/april/alcoholism-and-child-custody/,3,1663,0.18%,22.75
https://www.johnsonlgroup.com/colorado/adoption-2-2/kinship/,3,1550,0.19%,13.66
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/high-net-worth-divorce/,3,1313,0.23%,30.44
https://www.johnsonlgroup.com/blog/2026/july/common-law-marriage-colorado-proof/,3,1075,0.28%,21.21
https://www.johnsonlgroup.com/blog/2023/october/the-advantages-of-primary-physical-custody/,3,1012,0.3%,18.18
https://www.johnsonlgroup.com/blog/2021/february/can-my-child-decide-who-they-want-to-live-with/,3,947,0.32%,26.25
https://www.johnsonlgroup.com/blog/2022/june/what-constitutes-a-substantial-change-in-circumstance/,3,866,0.35%,11.19
https://www.johnsonlgroup.com/wyoming/child-custody/,3,841,0.36%,9.84
https://www.johnsonlgroup.com/wyoming/locations/cheyenne/divorce-mediation/,3,824,0.36%,16.79
https://www.johnsonlgroup.com/blog/2026/february/mediation-vs-court-litigation/,3,701,0.43%,17.67
https://www.johnsonlgroup.com/blog/2022/june/estate-planning-for-widows-widowers/,3,543,0.55%,14.35
https://www.johnsonlgroup.com/blog/2021/february/what-is-a-guardian-ad-litem/,3,527,0.57%,16.21
https://www.johnsonlgroup.com/blog/2026/january/skiing-sports-and-stem-handling-extracurricular/,3,499,0.6%,10.25
https://www.johnsonlgroup.com/blog/2024/august/navigating-back-to-school-season-with-child-custody/,3,487,0.62%,11.62
https://www.johnsonlgroup.com/colorado/paternity/challenging-paternity/,3,379,0.79%,21.62
https://www.johnsonlgroup.com/colorado/locations/fort-collins/orders-of-protection/,3,332,0.9%,44.57
https://www.johnsonlgroup.com/blog/2026/july/child-refuses-parenting-time-colorado/,3,205,1.46%,9.49
https://www.johnsonlgroup.com/colorado/areas-served/adams-county/thornton/,3,192,1.56%,23.72
https://www.johnsonlgroup.com/es/abogados/kristina-a-contreras/,3,163,1.84%,10.19
https://www.johnsonlgroup.com/colorado/guardianship/temporary-guardianship/,3,145,2.07%,8.61
https://www.johnsonlgroup.com/blog/2023/may/new-johnson-law-group-partner/,3,140,2.14%,8.41
https://www.johnsonlgroup.com/practice-areas/family-law/,2,60072,0%,63.57
https://www.johnsonlgroup.com/blog/,2,9484,0.02%,21.9
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/divorce/,2,4619,0.04%,45.68
https://www.johnsonlgroup.com/blog/2022/september/colorado-common-law-marriage-2023-all-you-need-to-know/,2,3590,0.06%,19.67
https://www.johnsonlgroup.com/blog/2021/april/understanding-alimony-in-colorado/,2,2251,0.09%,39.94
https://www.johnsonlgroup.com/colorado/filing-for-divorce/,2,1918,0.1%,40.36
https://www.johnsonlgroup.com/colorado/locations/fort-collins/high-net-worth-divorce/,2,1780,0.11%,32.46
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/property-division/,2,1753,0.11%,15.13
https://www.johnsonlgroup.com/blog/2025/january/how-domestic-violence-affects-child-custody-and-visitation-rights/,2,1452,0.14%,17.28
https://www.johnsonlgroup.com/colorado/locations/fort-collins/high-conflict-custody/,2,1402,0.14%,18.4
https://www.johnsonlgroup.com/colorado/property-division/colorado-equitable-distribution/,2,1045,0.19%,13.84
https://www.johnsonlgroup.com/blog/2022/january/how-to-file-for-divorce-in-denver-colorado-in-2023/,2,996,0.2%,46.13
https://www.johnsonlgroup.com/blog/2021/may/legal-separation-vs-divorce-in-colorado-a-complete-guide/,2,950,0.21%,29.19
https://www.johnsonlgroup.com/blog/2026/july/contested-vs-uncontested-divorce-colorado/,2,858,0.23%,10.76
https://www.johnsonlgroup.com/blog/2024/october/what-are-the-rights-of-grandparents-if-one-or-both-parents-are-deceased/,2,853,0.23%,9.18
https://www.johnsonlgroup.com/blog/2021/november/what-does-allocation-of-parental-rights-mean-in-colorado/,2,846,0.24%,17.92
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/contested-divorce/,2,825,0.24%,13.35
https://www.johnsonlgroup.com/colorado/child-custody/emergency-custody-orders/,2,820,0.24%,10.7
https://www.johnsonlgroup.com/blog/2025/october/high-conflict-divorce-and-child-custody-strategies-for-co-parenting/,2,703,0.28%,8.7
https://www.johnsonlgroup.com/wyoming/guardianship/,2,565,0.35%,8.82
https://www.johnsonlgroup.com/blog/2022/october/create-a-personal-property-memorandum/,2,554,0.36%,27.41
https://www.johnsonlgroup.com/colorado/prenup-postnup/,2,531,0.38%,12.07
https://www.johnsonlgroup.com/colorado/child-support/child-support-enforcement/,2,529,0.38%,12.17
https://www.johnsonlgroup.com/colorado/locations/commerce-city/divorce-mediation-lawyer/,2,509,0.39%,16.11
https://www.johnsonlgroup.com/wyoming/locations/cheyenne/military-divorce/,2,487,0.41%,13.74
https://www.johnsonlgroup.com/es/contactanos/,2,458,0.44%,15.87
https://www.johnsonlgroup.com/blog/2026/june/colorado-divorce-process/,2,384,0.52%,6.28
https://www.johnsonlgroup.com/blog/2021/september/divorce-support-groups-in-colorado/,2,361,0.55%,8.73
https://www.johnsonlgroup.com/wyoming/locations/,2,355,0.56%,40.31
https://www.johnsonlgroup.com/blog/2022/november/child-custody-modification-in-colorado/,2,331,0.6%,53.13
https://www.johnsonlgroup.com/colorado/property-division/hidden-assets/,2,316,0.63%,13.01
https://www.johnsonlgroup.com/blog/2021/october/what-are-a-fathers-rights-in-colorado/,2,268,0.75%,23.37
https://www.johnsonlgroup.com/colorado/areas-served/douglas-county/parker/,2,262,0.76%,17.08
https://www.johnsonlgroup.com/colorado/alimony/long-term-spousal-support/,2,246,0.81%,9.06
https://www.johnsonlgroup.com/blog/2022/june/protecting-generational-wealth-during-your-divorce/,2,232,0.86%,10.72
https://www.johnsonlgroup.com/wyoming/divorce/legal-separation/,2,199,1.01%,10.32
https://www.johnsonlgroup.com/blog/2026/july/how-divorce-mediation-works-in-colorado/,2,199,1.01%,27.72
https://www.johnsonlgroup.com/colorado/locations/fort-collins/prenup-postnup/,2,194,1.03%,19.95
https://www.johnsonlgroup.com/blog/2022/august/divorce-and-the-division-of-trusts/,2,194,1.03%,23.97
https://www.johnsonlgroup.com/practice-areas/criminal-defense/,2,178,1.12%,37.04
https://www.johnsonlgroup.com/prenup-postnup/,2,173,1.16%,15.52
https://www.johnsonlgroup.com/videos/attorneys-and-staff/kristina-contreras/,2,108,1.85%,6.85
https://www.johnsonlgroup.com/es/abogados/anne-e-hinds/,2,92,2.17%,7.26
https://www.johnsonlgroup.com/videos/our-story/heidi-whitaker/,2,89,2.25%,10.91
https://www.johnsonlgroup.com/videos/attorneys-and-staff/myles-johnson/,2,64,3.12%,9.47
https://www.johnsonlgroup.com/illinois/contact-us/,2,43,4.65%,6.4
https://www.johnsonlgroup.com/colorado/locations/denver/alimony/,1,8446,0.01%,18.66
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/child-custody/,1,5590,0.02%,22.23
https://www.johnsonlgroup.com/colorado/locations/denver/modification/,1,4502,0.02%,28.77
https://www.johnsonlgroup.com/blog/2024/march/a-roadmap-to-divorce-in-colorado/,1,3665,0.03%,50.97
https://www.johnsonlgroup.com/colorado/locations/denver/property-division/,1,3219,0.03%,30.53
https://www.johnsonlgroup.com/colorado/locations/englewood/domestic-partnership/,1,2846,0.04%,40.02
https://www.johnsonlgroup.com/colorado/child-custody/best-interest-of-child/,1,2831,0.04%,14.07
https://www.johnsonlgroup.com/blog/2021/december/understanding-the-colorado-intestate-process/,1,2292,0.04%,18.74
https://www.johnsonlgroup.com/blog/2021/april/understanding-prenuptial-agreements-in-colorado/,1,1984,0.05%,24.83
https://www.johnsonlgroup.com/blog/2021/november/revocable-vs-irrevocable-trust/,1,1923,0.05%,19.52
https://www.johnsonlgroup.com/blog/2024/december/protection-orders-for-domestic-violence-victims-how-they-work-and-how-to-stay-safe/,1,1885,0.05%,13.72
https://www.johnsonlgroup.com/family-based-immigration/,1,1788,0.06%,47.94
https://www.johnsonlgroup.com/blog/2024/july/understanding-child-tax-benefits-after-divorce/,1,1540,0.06%,11.56
https://www.johnsonlgroup.com/colorado/locations/fort-collins/child-support/,1,1535,0.07%,21.51
https://www.johnsonlgroup.com/blog/2024/october/how-to-file-for-joint-custody-in-colorado-2024/,1,1520,0.07%,31.87
https://www.johnsonlgroup.com/blog/2022/december/protect-your-childrens-inheritance-with-a-lifetime-asset-protection-trust/,1,1052,0.1%,13.69
https://www.johnsonlgroup.com/blog/2021/july/annulments-101-in-colorado/,1,1036,0.1%,30.8
https://www.johnsonlgroup.com/colorado/areas-served/adams-county/,1,972,0.1%,14.05
https://www.johnsonlgroup.com/fort-collins-contested-divorce-lawyer/,1,935,0.11%,20.03
https://www.johnsonlgroup.com/blog/2021/may/what-qualifies-someone-for-spousal-support/,1,891,0.11%,20.64
https://www.johnsonlgroup.com/illinois/locations/,1,778,0.13%,11.41
https://www.johnsonlgroup.com/florida/child-support/,1,711,0.14%,19.19
https://www.johnsonlgroup.com/blog/2022/august/how-to-bulletproof-a-prenuptial-agreement/,1,650,0.15%,8.41
https://www.johnsonlgroup.com/colorado/guardianship/,1,646,0.15%,12.85
https://www.johnsonlgroup.com/colorado/locations/colorado-springs/uncontested-divorce/,1,626,0.16%,43.42
https://www.johnsonlgroup.com/blog/2024/august/understanding-the-90-day-separation-period-in-colorado/,1,578,0.17%,11.69
https://www.johnsonlgroup.com/blog/2022/november/colorado-domestic-violence-laws-2023/,1,575,0.17%,39.98
https://www.johnsonlgroup.com/blog/2021/may/how-to-get-custody-of-a-child-in-colorado/,1,508,0.2%,63.63
https://www.johnsonlgroup.com/blog/2022/may/student-loans-and-divorce/,1,495,0.2%,12.32
https://www.johnsonlgroup.com/blog/2025/december/modifying-spousal-maintenance-alimony-after-a-di/,1,480,0.21%,15.63
https://www.johnsonlgroup.com/colorado/property-division/marital-vs-separate-property/,1,458,0.22%,9.57
https://www.johnsonlgroup.com/florida/locations/,1,433,0.23%,13.47
https://www.johnsonlgroup.com/colorado/locations/denver/contested-divorce/,1,429,0.23%,13.43
https://www.johnsonlgroup.com/blog/2022/july/colorado-divorce-laws-for-division-of-property-2023/,1,426,0.23%,72.38
https://www.johnsonlgroup.com/colorado/areas-served/douglas-county/lone-tree/,1,422,0.24%,13.33
https://www.johnsonlgroup.com/blog/2021/july/all-you-need-to-know-about-testamentary-trusts-101/,1,413,0.24%,25.35
https://www.johnsonlgroup.com/blog/2026/july/colorado-separation-agreement-what-to-include/,1,322,0.31%,8.26
https://www.johnsonlgroup.com/colorado/divorce/uncontested-divorce/,1,322,0.31%,33.52
https://www.johnsonlgroup.com/blog/2026/july/high-conflict-divorce-in-colorado/,1,313,0.32%,8.04
https://www.johnsonlgroup.com/colorado/areas-served/douglas-county/,1,268,0.37%,27.22
https://www.johnsonlgroup.com/colorado/areas-served/douglas-county/castle-rock/,1,258,0.39%,25.84
https://www.johnsonlgroup.com/colorado/locations/denver/divorce-mediation/,1,250,0.4%,28.52
https://www.johnsonlgroup.com/wyoming/locations/cheyenne/fathers-right/,1,235,0.43%,16.47
https://www.johnsonlgroup.com/blog/2024/september/should-you-represent-yourself-in-a-divorce-case/,1,229,0.44%,16.33
